"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4e-10,6.5762e-19,1.0926e-09,1,0.085284,0.1854,-0.10012,0.01
1.4042e-10,6.6006e-19,1.0818e-09,1,0.085655,0.1854,-0.099745,0.01
1.4083e-10,6.6251e-19,1.071e-09,1,0.086026,0.1854,-0.099374,0.01
1.4125e-10,6.6497e-19,1.06e-09,1,0.086396,0.1854,-0.099004,0.01
1.4167e-10,6.6748e-19,1.0482e-09,1,0.086767,0.1854,-0.098633,0.01
1.4209e-10,6.7006e-19,1.0358e-09,1,0.087138,0.1854,-0.098262,0.01
1.4252e-10,6.7265e-19,1.0233e-09,1,0.087509,0.1854,-0.097891,0.01
1.4294e-10,6.7525e-19,1.0108e-09,1,0.08788,0.1854,-0.09752,0.01
1.4337e-10,6.7786e-19,9.9825e-10,1,0.08825,0.1854,-0.09715,0.01
1.438e-10,6.8058e-19,9.8521e-10,1,0.088621,0.1854,-0.096779,0.01
1.4423e-10,6.833e-19,9.7218e-10,1,0.088992,0.1854,-0.096408,0.01
1.4466e-10,6.8612e-19,9.5889e-10,1,0.089363,0.1854,-0.096037,0.01
1.451e-10,6.8897e-19,9.455e-10,1,0.089734,0.1854,-0.095666,0.01
1.4554e-10,6.9182e-19,9.3211e-10,1,0.090104,0.1854,-0.095296,0.01
1.4598e-10,6.9467e-19,9.1872e-10,1,0.090475,0.1854,-0.094925,0.01
1.4643e-10,6.9782e-19,9.0497e-10,1,0.090846,0.1854,-0.094554,0.01
1.4688e-10,7.0097e-19,8.9121e-10,1,0.091217,0.1854,-0.094183,0.01
1.4734e-10,7.0412e-19,8.7746e-10,1,0.091588,0.1854,-0.093812,0.01
1.4779e-10,7.0727e-19,8.637e-10,1,0.091958,0.1854,-0.093442,0.01
1.4825e-10,7.1043e-19,8.4994e-10,1,0.092329,0.1854,-0.093071,0.01
1.487e-10,7.1358e-19,8.3619e-10,1,0.0927,0.1854,-0.0927,0.01
1.4915e-10,7.1673e-19,8.2243e-10,1,0.093071,0.1854,-0.092329,0.01
1.4961e-10,7.1988e-19,8.0867e-10,1,0.093442,0.1854,-0.091958,0.01
1.5006e-10,7.2304e-19,7.9492e-10,1,0.093812,0.1854,-0.091588,0.01
1.5052e-10,7.2621e-19,7.8118e-10,1,0.094183,0.1854,-0.091217,0.01
1.51e-10,7.2979e-19,7.6777e-10,1,0.094554,0.1854,-0.090846,0.01
1.5148e-10,7.3336e-19,7.5437e-10,1,0.094925,0.1854,-0.090475,0.01
1.5196e-10,7.3694e-19,7.4097e-10,1,0.095296,0.1854,-0.090104,0.01
1.5244e-10,7.4052e-19,7.2756e-10,1,0.095666,0.1854,-0.089734,0.01
1.5292e-10,7.441e-19,7.1416e-10,1,0.096037,0.1854,-0.089363,0.01
1.534e-10,7.4767e-19,7.0076e-10,1,0.096408,0.1854,-0.088992,0.01
1.5389e-10,7.5125e-19,6.8735e-10,1,0.096779,0.1854,-0.088621,0.01
1.5437e-10,7.5483e-19,6.7395e-10,1,0.09715,0.1854,-0.08825,0.01
1.5485e-10,7.5841e-19,6.6055e-10,1,0.09752,0.1854,-0.08788,0.01
1.5533e-10,7.6202e-19,6.4725e-10,1,0.097891,0.1854,-0.087509,0.01
1.5583e-10,7.6591e-19,6.3479e-10,1,0.098262,0.1854,-0.087138,0.01
1.5634e-10,7.6981e-19,6.2233e-10,1,0.098633,0.1854,-0.086767,0.01
1.5684e-10,7.737e-19,6.0987e-10,1,0.099004,0.1854,-0.086396,0.01
1.5734e-10,7.776e-19,5.9741e-10,1,0.099374,0.1854,-0.086026,0.01
1.5785e-10,7.8149e-19,5.8495e-10,1,0.099745,0.1854,-0.085655,0.01
1.5837e-10,7.8563e-19,5.7396e-10,1,0.10012,0.1854,-0.085284,0.01
1.589e-10,7.8986e-19,5.6354e-10,1,0.10049,0.1854,-0.084913,0.01
1.5942e-10,7.9409e-19,5.5312e-10,1,0.10086,0.1854,-0.084542,0.01
1.5995e-10,7.9832e-19,5.427e-10,1,0.10123,0.1854,-0.084172,0.01
1.6048e-10,8.0255e-19,5.3228e-10,1,0.1016,0.1854,-0.083801,0.01
1.6101e-10,8.0678e-19,5.2186e-10,1,0.10197,0.1854,-0.08343,0.01
1.6153e-10,8.1101e-19,5.1144e-10,1,0.10234,0.1854,-0.083059,0.01
1.6206e-10,8.1524e-19,5.0102e-10,1,0.10271,0.1854,-0.082688,0.01
1.6259e-10,8.1947e-19,4.906e-10,1,0.10308,0.1854,-0.082318,0.01
1.6312e-10,8.237e-19,4.8018e-10,1,0.10345,0.1854,-0.081947,0.01
